Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Date of Release (Months),Date of Release (Day of Month),Date of Release (Year),Date of Release YMD
Shingeki no Kyojin,"Apr 7, 2013, 01:58 (JST)",8.5,2801951,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2013, 01:58 (JST)              ","Funimation,",Apr,7,2013,4/7/2013
Fullmetal Alchemist: Brotherhood,"Apr 5, 2009, 17:00 (JST)",9.17,2424903,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",64 eps,Manga,"      TV -                        Apr 5, 2009, 17:00 (JST)              ","Aniplex of America,Funimation,",Apr,5,2009,4/5/2009
Sword Art Online,"Jul 8, 2012, 00:00 (JST)",7.22,2375868,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",25 eps,Light novel,"      TV -                        Jul 8, 2012, 00:00 (JST)              ","Aniplex of America,",Jul,8,2012,7/8/2012
One Punch Man,"Oct 5, 2015, 01:05 (JST)",8.55,2308824,Madhouse,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",12 eps,Web manga,"      TV -                        Oct 5, 2015, 01:05 (JST)              ","VIZ Media,",Oct,5,2015,10/5/2015
Boku no Hero Academia,"Apr 3, 2016, 17:00 (JST)",8.05,2139153,Bones,"Action,Comedy,School,Shounen,Super Power",13 eps,Manga,"      TV -                        Apr 3, 2016, 17:00 (JST)              ","Funimation,",Apr,3,2016,4/3/2016
Tokyo Ghoul,"Jul 4, 2014, 00:00 (JST)",7.8,2072884,Studio Pierrot,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",12 eps,Manga,"      TV -                        Jul 4, 2014, 00:00 (JST)              ","Funimation,",Jul,4,2014,7/4/2014
Naruto,"Oct 3, 2002, 19:30 (JST)",7.92,2026379,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",220 eps,Manga,"      TV -                        Oct 3, 2002, 19:30 (JST)              ","VIZ Media,",Oct,3,2002,10/3/2002
Hunter x Hunter (2011),"Oct 2, 2011, 10:55 (JST)",9.08,1885151,Madhouse,"Action,Adventure,Fantasy,Shounen,Super Power",148 eps,Manga,"      TV -                        Oct 2, 2011, 10:55 (JST)              ","VIZ Media,",Oct,2,2011,10/2/2011
Shingeki no Kyojin Season 2,"Apr 1, 2017, 22:00 (JST)",8.48,1806487,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Apr 1, 2017, 22:00 (JST)              ","Funimation,",Apr,1,2017,4/1/2017
Boku no Hero Academia 2nd Season,"Apr 1, 2017, 17:30 (JST)",8.27,1795709,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 1, 2017, 17:30 (JST)              ","Funimation,",Apr,1,2017,4/1/2017
Kimetsu no Yaiba,"Apr 6, 2019, 23:30 (JST)",8.6,1707243,ufotable,"Action,Demons,Historical,Shounen,Supernatural",26 eps,Manga,"      TV -                        Apr 6, 2019, 23:30 (JST)              ","Aniplex of America,",Apr,6,2019,4/6/2019
Naruto: Shippuuden,"Feb 15, 2007, 19:30 (JST)",8.18,1700547,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",500 eps,Manga,"      TV -                        Feb 15, 2007, 19:30 (JST)              ","VIZ Media,",Feb,15,2007,2/15/2007
Code Geass: Hangyaku no Lelouch,"Oct 6, 2006, 01:25 (JST)",8.71,1699105,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",25 eps,Original,"      TV -                        Oct 6, 2006, 01:25 (JST)              ","Bandai Entertainment,Funimation,",Oct,6,2006,10/6/2006
Angel Beats!,3-Apr-10,8.12,1680023,P.A. Works,"Action,Comedy,Drama,School,Supernatural",13 eps,Original,"      TV -                        Apr 3, 2010              ","Sentai Filmworks,",Apr,3,2010,4/3/2010
Noragami,"Jan 5, 2014, 23:30 (JST)",7.99,1646167,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",12 eps,Manga,"      TV -                        Jan 5, 2014, 23:30 (JST)              ","Funimation,",Jan,5,2014,1/5/2014
Mirai Nikki (TV),"Oct 9, 2011, 23:00 (JST)",7.51,1618944,Asread,"Action,Mystery,Psychological,Supernatural,Thriller,Shounen",26 eps,Manga,"      TV -                        Oct 9, 2011, 23:00 (JST)              ","Funimation,",Oct,9,2011,10/9/2011
Nanatsu no Taizai,"Oct 5, 2014, 17:00 (JST)",7.82,1532987,A-1 Pictures,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",24 eps,Manga,"      TV -                        Oct 5, 2014, 17:00 (JST)              ","Funimation,",Oct,5,2014,10/5/2014
Akame ga Kill!,"Jul 7, 2014, 00:00 (JST)",7.5,1531018,White Fox,"Action,Adventure,Drama,Fantasy,Shounen",24 eps,Manga,"      TV -                        Jul 7, 2014, 00:00 (JST)              ","Sentai Filmworks,",Jul,7,2014,7/7/2014
Sword Art Online II,"Jul 5, 2014, 00:00 (JST)",6.75,1529071,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",24 eps,Light novel,"      TV -                        Jul 5, 2014, 00:00 (JST)              ","Aniplex of America,",Jul,5,2014,7/5/2014
Boku no Hero Academia 3rd Season,"Apr 7, 2018, 17:30 (JST)",8.19,1511684,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2018, 17:30 (JST)              ","Funimation,",Apr,7,2018,4/7/2018
Ao no Exorcist,"Apr 17, 2011, 17:00 (JST)",7.56,1510974,A-1 Pictures,"Action,Demons,Fantasy,Shounen,Supernatural",25 eps,Manga,"      TV -                        Apr 17, 2011, 17:00 (JST)              ","Aniplex of America,",Apr,17,2011,4/17/2011
One Piece,"Oct 20, 1999, 09:30 (JST)",8.54,1477477,Toei Animation,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",? eps,Manga,"      TV -                        Oct 20, 1999, 09:30 (JST)              ","4Kids Entertainment,Funimation,",Oct,20,1999,10/20/1999
Shingeki no Kyojin Season 3,"Jul 23, 2018, 00:35 (JST)",8.62,1448695,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Jul 23, 2018, 00:35 (JST)              ","Funimation,",Jul,23,2018,7/23/2018
Fairy Tail,"Oct 12, 2009, 10:30 (JST)",7.63,1396276,A-1 Pictures,"Action,Adventure,Comedy,Magic,Fantasy,Shounen",175 eps,Manga,"      TV -                        Oct 12, 2009, 10:30 (JST)              ","Funimation,",Oct,12,2009,10/12/2009
Ansatsu Kyoushitsu,"Jan 10, 2015, 00:55 (JST)",8.11,1395173,Lerche,"Action,Comedy,School,Shounen",22 eps,Manga,"      TV -                        Jan 10, 2015, 00:55 (JST)              ","Funimation,",Jan,10,2015,1/10/2015
Mob Psycho 100,"Jul 11, 2016, 00:00 (JST)",8.48,1379527,Bones,"Action,Slice of Life,Comedy,Supernatural",12 eps,Web manga,"      TV -                        Jul 11, 2016, 00:00 (JST)              ","Crunchyroll,Funimation,",Jul,11,2016,7/11/2016
Bleach,"Oct 5, 2004, 18:00 (JST)",7.8,1378155,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",366 eps,Manga,"      TV -                        Oct 5, 2004, 18:00 (JST)              ","VIZ Media,",Oct,5,2004,10/5/2004
Kill la Kill,"Oct 4, 2013, 02:05 (JST)",8.08,1359312,Trigger,"Action,Comedy,Super Power,Ecchi,School",24 eps,Original,"      TV -                        Oct 4, 2013, 02:05 (JST)              ","Aniplex of America,",Oct,4,2013,10/4/2013
Kiseijuu: Sei no Kakuritsu,"Oct 9, 2014, 01:29 (JST)",8.38,1354019,Madhouse,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen",24 eps,Manga,"      TV -                        Oct 9, 2014, 01:29 (JST)              ","Sentai Filmworks,",Oct,9,2014,10/9/2014
Code Geass: Hangyaku no Lelouch R2,"Apr 6, 2008, 17:00 (JST)",8.91,1352271,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha",25 eps,Original,"      TV -                        Apr 6, 2008, 17:00 (JST)              ","Bandai Entertainment,Funimation,",Apr,6,2008,4/6/2008
Cowboy Bebop,"Apr 3, 1998, 01:00 (JST)",8.77,1344107,Sunrise,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",26 eps,Original,"      TV -                        Apr 3, 1998, 01:00 (JST)              ","Bandai Entertainment,Funimation,",Apr,3,1998,4/3/1998
Tokyo Ghoul √A,"Jan 9, 2015, 00:00 (JST)",7.05,1337338,Studio Pierrot,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",12 eps,Manga,"      TV -                        Jan 9, 2015, 00:00 (JST)              ","Funimation,",Jan,9,2015,1/9/2015
Shingeki no Kyojin Season 3 Part 2,"Apr 29, 2019, 00:10 (JST)",9.11,1312512,Wit Studio,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",10 eps,Manga,"      TV -                        Apr 29, 2019, 00:10 (JST)              ","Funimation,",Apr,29,2019,4/29/2019
Soul Eater,"Apr 7, 2008, 18:00 (JST)",7.86,1292700,Bones,"Action,Fantasy,Comedy,Supernatural,Shounen",51 eps,Manga,"      TV -                        Apr 7, 2008, 18:00 (JST)              ","Funimation,",Apr,7,2008,4/7/2008
Psycho-Pass,"Oct 12, 2012, 00:45 (JST)",8.37,1286905,Production I.G,"Action,Sci-Fi,Police,Psychological,Thriller",22 eps,Original,"      TV -                        Oct 12, 2012, 00:45 (JST)              ","Funimation,",Oct,12,2012,10/12/2012
Tengen Toppa Gurren Lagann,"Apr 1, 2007, 08:30 (JST)",8.65,1280231,Gainax,"Action,Sci-Fi,Adventure,Comedy,Mecha",27 eps,Original,"      TV -                        Apr 1, 2007, 08:30 (JST)              ","ADV Films,Aniplex of America,Bandai Entertainment,",Apr,1,2007,4/1/2007
Neon Genesis Evangelion,"Oct 4, 1995, 18:30 (JST)",8.32,1257694,Gainax,"Action,Sci-Fi,Dementia,Psychological,Drama,Mecha",26 eps,Original,"      TV -                        Oct 4, 1995, 18:30 (JST)              ","ADV Films,Netflix,",Oct,4,1995,10/4/1995
Elfen Lied,"Jul 25, 2004, 22:30 (JST)",7.55,1241725,Arms,"Action,Horror,Psychological,Supernatural,Drama,Romance,Seinen",13 eps,Manga,"      TV -                        Jul 25, 2004, 22:30 (JST)              ","ADV Films,",Jul,25,2004,7/25/2004
Fullmetal Alchemist,"Oct 4, 2003, 18:00 (JST)",8.15,1213741,Bones,"Action,Adventure,Comedy,Drama,Fantasy,Magic,Military,Shounen",51 eps,Manga,"      TV -                        Oct 4, 2003, 18:00 (JST)              ","Aniplex of America,Funimation,",Oct,4,2003,10/4/2003
Highschool of the Dead,"Jul 5, 2010, 11:30 (JST)",7.12,1178837,Madhouse,"Action,Horror,Supernatural,Ecchi,Shounen",12 eps,Manga,"      TV -                        Jul 5, 2010, 11:30 (JST)              ","Sentai Filmworks,",Jul,5,2010,7/5/2010
Fate/Zero,"Oct 2, 2011, 00:00 (JST)",8.33,1164893,ufotable,"Action,Supernatural,Magic,Fantasy",13 eps,Light novel,"      TV -                        Oct 2, 2011, 00:00 (JST)              ","Aniplex of America,",Oct,2,2011,10/2/2011
Durarara!!,"Jan 8, 2010, 01:25 (JST)",8.16,1160696,Brain's Base,"Action,Mystery,Supernatural",24 eps,Light novel,"      TV -                        Jan 8, 2010, 01:25 (JST)              ","Aniplex of America,",Jan,8,2010,1/8/2010
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Apr 4, 2015, 01:05 (JST)",7.61,1155001,J.C.Staff,"Action,Adventure,Comedy,Romance,Fantasy",13 eps,Light novel,"      TV -                        Apr 4, 2015, 01:05 (JST)              ","Sentai Filmworks,",Apr,4,2015,4/4/2015
Darling in the FranXX,"Jan 13, 2018, 23:30 (JST)",7.3,1121827,A-1 Pictures,"Action,Drama,Mecha,Romance,Sci-Fi",24 eps,Original,"      TV -                        Jan 13, 2018, 23:30 (JST)              ","Funimation,",Jan,13,2018,1/13/2018
Overlord,"Jul 7, 2015, 23:00 (JST)",7.94,1119101,Madhouse,"Action,Adventure,Fantasy,Game,Magic,Supernatural",13 eps,Light novel,"      TV -                        Jul 7, 2015, 23:00 (JST)              ","Funimation,",Jul,7,2015,7/7/2015
Noragami Aragoto,"Oct 3, 2015, 01:05 (JST)",8.2,1116442,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",13 eps,Manga,"      TV -                        Oct 3, 2015, 01:05 (JST)              ","Funimation,",Oct,3,2015,10/3/2015
Jujutsu Kaisen (TV),"Oct 3, 2020, 01:25 (JST)",8.78,1106247,MAPPA,"Action,Demons,Supernatural,School,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2020, 01:25 (JST)              ",,Oct,3,2020,10/3/2020
One Punch Man 2nd Season,"Apr 10, 2019, 01:35 (JST)",7.41,1105622,J.C.Staff,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",12 eps,Web manga,"      TV -                        Apr 10, 2019, 01:35 (JST)              ","VIZ Media,",Apr,10,2019,4/10/2019
Boku no Hero Academia 4th Season,"Oct 12, 2019, 17:30 (JST)",8.02,1103299,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Oct 12, 2019, 17:30 (JST)              ","Funimation,",Oct,12,2019,10/12/2019
JoJo no Kimyou na Bouken (TV),"Oct 6, 2012, 00:30 (JST)",8,1086594,David Production,"Action,Adventure,Supernatural,Vampire,Shounen",26 eps,Manga,"      TV -                        Oct 6, 2012, 00:30 (JST)              ","VIZ Media,Warner Bros. Pictures,",Oct,6,2012,10/6/2012
Shingeki no Kyojin: The Final Season,"Dec 7, 2020, 00:10 (JST)",9.02,1072333,MAPPA,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",16 eps,Manga,"      TV -                        Dec 7, 2020, 00:10 (JST)              ","Funimation,",Dec,7,2020,12/7/2020
Tate no Yuusha no Nariagari,"Jan 9, 2019, 22:00 (JST)",8,1015174,Kinema Citrus,"Action,Adventure,Drama,Fantasy",25 eps,Light novel,"      TV -                        Jan 9, 2019, 22:00 (JST)              ","Funimation,",Jan,9,2019,1/9/2019
Guilty Crown,"Oct 14, 2011, 01:15 (JST)",7.49,999919,Production I.G,"Action,Sci-Fi,Super Power,Drama,Romance,Mecha",22 eps,Original,"      TV -                        Oct 14, 2011, 01:15 (JST)              ","Funimation,",Oct,14,2011,10/14/2011
Deadman Wonderland,"Apr 17, 2011, 01:00 (JST)",7.2,995963,Manglobe,"Action,Horror,Sci-Fi,Shounen,Supernatural",12 eps,Manga,"      TV -                        Apr 17, 2011, 01:00 (JST)              ","Funimation,",Apr,17,2011,4/17/2011
Black Clover,"Oct 3, 2017, 18:25 (JST)",7.98,992050,Studio Pierrot,"Action,Comedy,Magic,Fantasy,Shounen",170 eps,Manga,"      TV -                        Oct 3, 2017, 18:25 (JST)              ","Crunchyroll,Funimation,",Oct,3,2017,10/3/2017
Ansatsu Kyoushitsu 2nd Season,"Jan 8, 2016, 01:25 (JST)",8.53,989574,Lerche,"Action,Comedy,School,Shounen",25 eps,Manga,"      TV -                        Jan 8, 2016, 01:25 (JST)              ","Funimation,",Jan,8,2016,1/8/2016
Owari no Seraph,"Apr 4, 2015, 22:00 (JST)",7.49,958624,Wit Studio,"Action,Military,Supernatural,Drama,Vampire,Shounen",12 eps,Manga,"      TV -                        Apr 4, 2015, 22:00 (JST)              ","Funimation,",Apr,4,2015,4/4/2015
