Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Fullmetal Alchemist: Brotherhood,"Apr 5, 2009, 17:00 (JST)",9.17,2424903,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",64 eps,Manga,"      TV -                        Apr 5, 2009, 17:00 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Military,Adventure,Comedy,Drama,8,Aniplex of America,Funimation,
Shingeki no Kyojin Season 3 Part 2,"Apr 29, 2019, 00:10 (JST)",9.11,1312512,Wit Studio,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",10 eps,Manga,"      TV -                        Apr 29, 2019, 00:10 (JST)              ","Funimation,",      TV ,Action,Drama,Fantasy,Military,Mystery,7,Funimation,,
Gintama°,"Apr 8, 2015, 18:00 (JST)",9.09,435592,Bandai Namco Pictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",51 eps,Manga,"      TV -                        Apr 8, 2015, 18:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Historical,Parody,Samurai,7,Crunchyroll,Funimation,
Hunter x Hunter (2011),"Oct 2, 2011, 10:55 (JST)",9.08,1885151,Madhouse,"Action,Adventure,Fantasy,Shounen,Super Power",148 eps,Manga,"      TV -                        Oct 2, 2011, 10:55 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Fantasy,Shounen,Super Power,5,VIZ Media,,
Gintama',"Apr 4, 2011, 18:00 (JST)",9.06,391806,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",51 eps,Manga,"      TV -                        Apr 4, 2011, 18:00 (JST)              ",,      TV ,Action,Sci-Fi,Comedy,Historical,Parody,7,,,
Gintama': Enchousen,"Oct 4, 2012, 18:00 (JST)",9.03,237232,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",13 eps,Manga,"      TV -                        Oct 4, 2012, 18:00 (JST)              ",,      TV ,Action,Comedy,Historical,Parody,Samurai,7,,,
Shingeki no Kyojin: The Final Season,"Dec 7, 2020, 00:10 (JST)",9.02,1072333,MAPPA,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",16 eps,Manga,"      TV -                        Dec 7, 2020, 00:10 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Gintama,"Apr 4, 2006, 18:00 (JST)",8.95,807271,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",201 eps,Manga,"      TV -                        Apr 4, 2006, 18:00 (JST)              ","Crunchyroll,Sentai Filmworks,",      TV ,Action,Comedy,Historical,Parody,Samurai,7,Crunchyroll,Sentai Filmworks,
Code Geass: Hangyaku no Lelouch R2,"Apr 6, 2008, 17:00 (JST)",8.91,1352271,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha",25 eps,Original,"      TV -                        Apr 6, 2008, 17:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,6,Bandai Entertainment,Funimation,
Mob Psycho 100 II,"Jan 7, 2019, 23:00 (JST)",8.83,942641,Bones,"Action,Slice of Life,Comedy,Supernatural",13 eps,Web manga,"      TV -                        Jan 7, 2019, 23:00 (JST)              ","Funimation,",      TV ,Action,Slice of Life,Comedy,Supernatural,,4,Funimation,,
Kizumonogatari III: Reiketsu-hen,"Jan 6, 2017",8.81,334741,Shaft,"Action,Mystery,Supernatural,Vampire",1 ep,Light novel,"      Movie -                        Jan 6, 2017              ",,      Movie ,Action,Mystery,Supernatural,Vampire,,4,,,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Oct 16, 2020",8.79,525107,ufotable,"Action,Historical,Demons,Supernatural,Shounen",1 ep,Manga,"      Movie -                        Oct 16, 2020              ","Aniplex of America,",      Movie ,Action,Historical,Demons,Supernatural,Shounen,5,Aniplex of America,,
Jujutsu Kaisen (TV),"Oct 3, 2020, 01:25 (JST)",8.78,1106247,MAPPA,"Action,Demons,Supernatural,School,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2020, 01:25 (JST)              ",,      TV ,Action,Demons,Supernatural,School,Shounen,5,,,
Cowboy Bebop,"Apr 3, 1998, 01:00 (JST)",8.77,1344107,Sunrise,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",26 eps,Original,"      TV -                        Apr 3, 1998, 01:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Adventure,Comedy,Drama,Sci-Fi,6,Bandai Entertainment,Funimation,
Code Geass: Hangyaku no Lelouch,"Oct 6, 2006, 01:25 (JST)",8.71,1699105,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",25 eps,Original,"      TV -                        Oct 6, 2006, 01:25 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,7,Bandai Entertainment,Funimation,
