Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Shingeki no Kyojin,"Apr 7, 2013, 01:58 (JST)",8.5,2801951,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2013, 01:58 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Fullmetal Alchemist: Brotherhood,"Apr 5, 2009, 17:00 (JST)",9.17,2424903,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",64 eps,Manga,"      TV -                        Apr 5, 2009, 17:00 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Military,Adventure,Comedy,Drama,8,Aniplex of America,Funimation,
Sword Art Online,"Jul 8, 2012, 00:00 (JST)",7.22,2375868,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",25 eps,Light novel,"      TV -                        Jul 8, 2012, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
One Punch Man,"Oct 5, 2015, 01:05 (JST)",8.55,2308824,Madhouse,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",12 eps,Web manga,"      TV -                        Oct 5, 2015, 01:05 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Comedy,Parody,Super Power,6,VIZ Media,,
Boku no Hero Academia,"Apr 3, 2016, 17:00 (JST)",8.05,2139153,Bones,"Action,Comedy,School,Shounen,Super Power",13 eps,Manga,"      TV -                        Apr 3, 2016, 17:00 (JST)              ","Funimation,",      TV ,Action,Comedy,School,Shounen,Super Power,5,Funimation,,
Tokyo Ghoul,"Jul 4, 2014, 00:00 (JST)",7.8,2072884,Studio Pierrot,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",12 eps,Manga,"      TV -                        Jul 4, 2014, 00:00 (JST)              ","Funimation,",      TV ,Action,Mystery,Horror,Psychological,Supernatural,7,Funimation,,
Naruto,"Oct 3, 2002, 19:30 (JST)",7.92,2026379,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",220 eps,Manga,"      TV -                        Oct 3, 2002, 19:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Martial Arts,6,VIZ Media,,
Hunter x Hunter (2011),"Oct 2, 2011, 10:55 (JST)",9.08,1885151,Madhouse,"Action,Adventure,Fantasy,Shounen,Super Power",148 eps,Manga,"      TV -                        Oct 2, 2011, 10:55 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Fantasy,Shounen,Super Power,5,VIZ Media,,
Shingeki no Kyojin Season 2,"Apr 1, 2017, 22:00 (JST)",8.48,1806487,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Apr 1, 2017, 22:00 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Boku no Hero Academia 2nd Season,"Apr 1, 2017, 17:30 (JST)",8.27,1795709,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 1, 2017, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
Kimetsu no Yaiba,"Apr 6, 2019, 23:30 (JST)",8.6,1707243,ufotable,"Action,Demons,Historical,Shounen,Supernatural",26 eps,Manga,"      TV -                        Apr 6, 2019, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Demons,Historical,Shounen,Supernatural,5,Aniplex of America,,
Naruto: Shippuuden,"Feb 15, 2007, 19:30 (JST)",8.18,1700547,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",500 eps,Manga,"      TV -                        Feb 15, 2007, 19:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Martial Arts,6,VIZ Media,,
Code Geass: Hangyaku no Lelouch,"Oct 6, 2006, 01:25 (JST)",8.71,1699105,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",25 eps,Original,"      TV -                        Oct 6, 2006, 01:25 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,7,Bandai Entertainment,Funimation,
Angel Beats!,"Apr 3, 2010",8.12,1680023,P.A. Works,"Action,Comedy,Drama,School,Supernatural",13 eps,Original,"      TV -                        Apr 3, 2010              ","Sentai Filmworks,",      TV ,Action,Comedy,Drama,School,Supernatural,5,Sentai Filmworks,,
Noragami,"Jan 5, 2014, 23:30 (JST)",7.99,1646167,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",12 eps,Manga,"      TV -                        Jan 5, 2014, 23:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Supernatural,Shounen,5,Funimation,,
Mirai Nikki (TV),"Oct 9, 2011, 23:00 (JST)",7.51,1618944,Asread,"Action,Mystery,Psychological,Supernatural,Thriller,Shounen",26 eps,Manga,"      TV -                        Oct 9, 2011, 23:00 (JST)              ","Funimation,",      TV ,Action,Mystery,Psychological,Supernatural,Thriller,6,Funimation,,
Nanatsu no Taizai,"Oct 5, 2014, 17:00 (JST)",7.82,1532987,A-1 Pictures,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",24 eps,Manga,"      TV -                        Oct 5, 2014, 17:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Supernatural,Magic,Fantasy,6,Funimation,,
Akame ga Kill!,"Jul 7, 2014, 00:00 (JST)",7.5,1531018,White Fox,"Action,Adventure,Drama,Fantasy,Shounen",24 eps,Manga,"      TV -                        Jul 7, 2014, 00:00 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Drama,Fantasy,Shounen,5,Sentai Filmworks,,
Sword Art Online II,"Jul 5, 2014, 00:00 (JST)",6.75,1529071,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",24 eps,Light novel,"      TV -                        Jul 5, 2014, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
Boku no Hero Academia 3rd Season,"Apr 7, 2018, 17:30 (JST)",8.19,1511684,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2018, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
Ao no Exorcist,"Apr 17, 2011, 17:00 (JST)",7.56,1510974,A-1 Pictures,"Action,Demons,Fantasy,Shounen,Supernatural",25 eps,Manga,"      TV -                        Apr 17, 2011, 17:00 (JST)              ","Aniplex of America,",      TV ,Action,Demons,Fantasy,Shounen,Supernatural,5,Aniplex of America,,
One Piece,"Oct 20, 1999, 09:30 (JST)",8.54,1477477,Toei Animation,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",? eps,Manga,"      TV -                        Oct 20, 1999, 09:30 (JST)              ","4Kids Entertainment,Funimation,",      TV ,Action,Adventure,Comedy,Super Power,Drama,7,4Kids Entertainment,Funimation,
Shingeki no Kyojin Season 3,"Jul 23, 2018, 00:35 (JST)",8.62,1448695,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Jul 23, 2018, 00:35 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Fairy Tail,"Oct 12, 2009, 10:30 (JST)",7.63,1396276,A-1 Pictures,"Action,Adventure,Comedy,Magic,Fantasy,Shounen",175 eps,Manga,"      TV -                        Oct 12, 2009, 10:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Magic,Fantasy,6,Funimation,,
Ansatsu Kyoushitsu,"Jan 10, 2015, 00:55 (JST)",8.11,1395173,Lerche,"Action,Comedy,School,Shounen",22 eps,Manga,"      TV -                        Jan 10, 2015, 00:55 (JST)              ","Funimation,",      TV ,Action,Comedy,School,Shounen,,4,Funimation,,
Mob Psycho 100,"Jul 11, 2016, 00:00 (JST)",8.48,1379527,Bones,"Action,Slice of Life,Comedy,Supernatural",12 eps,Web manga,"      TV -                        Jul 11, 2016, 00:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Slice of Life,Comedy,Supernatural,,4,Crunchyroll,Funimation,
Bleach,"Oct 5, 2004, 18:00 (JST)",7.8,1378155,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",366 eps,Manga,"      TV -                        Oct 5, 2004, 18:00 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Supernatural,6,VIZ Media,,
Kill la Kill,"Oct 4, 2013, 02:05 (JST)",8.08,1359312,Trigger,"Action,Comedy,Super Power,Ecchi,School",24 eps,Original,"      TV -                        Oct 4, 2013, 02:05 (JST)              ","Aniplex of America,",      TV ,Action,Comedy,Super Power,Ecchi,School,5,Aniplex of America,,
Kiseijuu: Sei no Kakuritsu,"Oct 9, 2014, 01:29 (JST)",8.38,1354019,Madhouse,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen",24 eps,Manga,"      TV -                        Oct 9, 2014, 01:29 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Horror,Psychological,Drama,6,Sentai Filmworks,,
Code Geass: Hangyaku no Lelouch R2,"Apr 6, 2008, 17:00 (JST)",8.91,1352271,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha",25 eps,Original,"      TV -                        Apr 6, 2008, 17:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,6,Bandai Entertainment,Funimation,
Cowboy Bebop,"Apr 3, 1998, 01:00 (JST)",8.77,1344107,Sunrise,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",26 eps,Original,"      TV -                        Apr 3, 1998, 01:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Adventure,Comedy,Drama,Sci-Fi,6,Bandai Entertainment,Funimation,
Tokyo Ghoul √A,"Jan 9, 2015, 00:00 (JST)",7.05,1337338,Studio Pierrot,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",12 eps,Manga,"      TV -                        Jan 9, 2015, 00:00 (JST)              ","Funimation,",      TV ,Action,Mystery,Horror,Psychological,Supernatural,7,Funimation,,
Shingeki no Kyojin Season 3 Part 2,"Apr 29, 2019, 00:10 (JST)",9.11,1312512,Wit Studio,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",10 eps,Manga,"      TV -                        Apr 29, 2019, 00:10 (JST)              ","Funimation,",      TV ,Action,Drama,Fantasy,Military,Mystery,7,Funimation,,
Soul Eater,"Apr 7, 2008, 18:00 (JST)",7.86,1292700,Bones,"Action,Fantasy,Comedy,Supernatural,Shounen",51 eps,Manga,"      TV -                        Apr 7, 2008, 18:00 (JST)              ","Funimation,",      TV ,Action,Fantasy,Comedy,Supernatural,Shounen,5,Funimation,,
Psycho-Pass,"Oct 12, 2012, 00:45 (JST)",8.37,1286905,Production I.G,"Action,Sci-Fi,Police,Psychological,Thriller",22 eps,Original,"      TV -                        Oct 12, 2012, 00:45 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Police,Psychological,Thriller,5,Funimation,,
Tengen Toppa Gurren Lagann,"Apr 1, 2007, 08:30 (JST)",8.65,1280231,Gainax,"Action,Sci-Fi,Adventure,Comedy,Mecha",27 eps,Original,"      TV -                        Apr 1, 2007, 08:30 (JST)              ","ADV Films,Aniplex of America,Bandai Entertainment,",      TV ,Action,Sci-Fi,Adventure,Comedy,Mecha,5,ADV Films,Aniplex of America,Bandai Entertainment
Neon Genesis Evangelion,"Oct 4, 1995, 18:30 (JST)",8.32,1257694,Gainax,"Action,Sci-Fi,Dementia,Psychological,Drama,Mecha",26 eps,Original,"      TV -                        Oct 4, 1995, 18:30 (JST)              ","ADV Films,Netflix,",      TV ,Action,Sci-Fi,Dementia,Psychological,Drama,6,ADV Films,Netflix,
Elfen Lied,"Jul 25, 2004, 22:30 (JST)",7.55,1241725,Arms,"Action,Horror,Psychological,Supernatural,Drama,Romance,Seinen",13 eps,Manga,"      TV -                        Jul 25, 2004, 22:30 (JST)              ","ADV Films,",      TV ,Action,Horror,Psychological,Supernatural,Drama,7,ADV Films,,
Fullmetal Alchemist,"Oct 4, 2003, 18:00 (JST)",8.15,1213741,Bones,"Action,Adventure,Comedy,Drama,Fantasy,Magic,Military,Shounen",51 eps,Manga,"      TV -                        Oct 4, 2003, 18:00 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Adventure,Comedy,Drama,Fantasy,8,Aniplex of America,Funimation,
Highschool of the Dead,"Jul 5, 2010, 11:30 (JST)",7.12,1178837,Madhouse,"Action,Horror,Supernatural,Ecchi,Shounen",12 eps,Manga,"      TV -                        Jul 5, 2010, 11:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Horror,Supernatural,Ecchi,Shounen,5,Sentai Filmworks,,
Fate/Zero,"Oct 2, 2011, 00:00 (JST)",8.33,1164893,ufotable,"Action,Supernatural,Magic,Fantasy",13 eps,Light novel,"      TV -                        Oct 2, 2011, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
Durarara!!,"Jan 8, 2010, 01:25 (JST)",8.16,1160696,Brain's Base,"Action,Mystery,Supernatural",24 eps,Light novel,"      TV -                        Jan 8, 2010, 01:25 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Apr 4, 2015, 01:05 (JST)",7.61,1155001,J.C.Staff,"Action,Adventure,Comedy,Romance,Fantasy",13 eps,Light novel,"      TV -                        Apr 4, 2015, 01:05 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Comedy,Romance,Fantasy,5,Sentai Filmworks,,
Darling in the FranXX,"Jan 13, 2018, 23:30 (JST)",7.3,1121827,A-1 Pictures,"Action,Drama,Mecha,Romance,Sci-Fi",24 eps,Original,"      TV -                        Jan 13, 2018, 23:30 (JST)              ","Funimation,",      TV ,Action,Drama,Mecha,Romance,Sci-Fi,5,Funimation,,
Overlord,"Jul 7, 2015, 23:00 (JST)",7.94,1119101,Madhouse,"Action,Adventure,Fantasy,Game,Magic,Supernatural",13 eps,Light novel,"      TV -                        Jul 7, 2015, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Fantasy,Game,Magic,6,Funimation,,
